county,fips,"low risk 0-4","low risk 5-24","low risk 25-49","low risk 50-64","low risk 65+","high risk 0-4","high risk 5-24","high risk 25-49","high risk 50-64","high risk 65+","first responder 0-4","first responder 5-24","first responder 25-49","first responder 50-64","first responder 65+","pregnant 0-4","pregnant 5-24","pregnant 25-49","pregnant 50-64","pregnant 65+"
Freestone,161,1130,4066,4888,2721,1545,99,577,1210,1384,1740,0,0,166,0,0,0,120,170,0,0
Frio,163,1107,4394,4790,1802,911,97,588,1176,916,1025,0,0,89,0,0,0,165,157,0,0
Gaines,165,1673,5202,4283,1653,742,146,708,958,840,835,0,0,72,0,0,0,183,231,0,0
Galveston,167,18373,68069,74698,39048,15430,1606,9603,17800,19852,17374,0,0,3765,0,0,0,2059,3632,0,0
Garza,169,351,1529,1919,728,330,31,221,478,370,372,0,0,35,0,0,0,41,56,0,0
Gillespie,171,1135,4445,4422,3773,3098,99,632,1098,1918,3488,0,0,385,0,0,0,129,215,0,0
Glasscock,173,73,289,293,170,75,6,44,73,86,85,0,0,15,0,0,0,6,11,0,0
Goliad,175,354,1464,1510,1167,645,31,210,370,594,727,0,0,43,0,0,0,41,54,0,0
Gonzales,177,1407,4753,4548,2501,1407,123,637,1069,1272,1585,0,0,122,0,0,0,177,206,0,0
Gray,179,1504,4830,5592,2798,1699,132,647,1378,1423,1913,0,0,227,0,0,0,180,212,0,0
Grayson,181,7203,27764,27375,16161,8831,630,3851,6833,8217,9944,0,0,1977,0,0,0,906,1185,0,0
Gregg,183,8351,29613,28838,14597,7750,730,3990,7081,7421,8726,0,0,2163,0,0,0,1083,1387,0,0
Grimes,185,1453,5695,6862,3834,1727,127,792,1667,1950,1945,0,0,126,0,0,0,184,242,0,0
Guadalupe,187,8458,32707,34435,15739,7195,739,4737,8212,8002,8102,0,0,901,0,0,0,866,1440,0,0
Hale,189,2774,9816,8897,3802,2086,242,1302,2099,1933,2349,0,0,206,0,0,0,380,387,0,0
Hall,191,200,747,639,433,357,18,109,156,220,402,0,0,27,0,0,0,19,26,0,0
Hamilton,193,431,1622,1718,1150,990,38,223,433,584,1115,0,0,96,0,0,0,55,62,0,0
Hansford,195,429,1415,1292,664,360,37,201,306,338,406,0,0,61,0,0,0,41,63,0,0
Hardeman,197,247,867,867,587,380,22,120,213,298,428,0,0,45,0,0,0,29,36,0,0
Hardin,199,3390,12780,13538,7210,3472,296,1788,3257,3665,3910,0,0,383,0,0,0,401,545,0,0
Harris,201,309281,1045886,1151066,443366,156858,27033,141823,262512,225415,176629,0,0,49743,0,0,0,37361,65486,0,0
Harrison,203,4300,15649,15812,8720,4100,376,2210,3826,4433,4616,0,0,491,0,0,0,471,627,0,0
Hartley,205,321,1088,2006,709,356,28,160,519,361,401,0,0,46,0,0,0,26,41,0,0
Haskell,207,286,1141,1352,801,605,25,162,348,407,681,0,0,28,0,0,0,34,29,0,0
Hays,209,9721,47895,39197,17028,6249,850,6939,9114,8657,7036,0,0,1226,0,0,0,1267,1928,0,0
Hemphill,211,300,891,942,459,231,26,118,222,233,261,0,0,42,0,0,0,35,47,0,0
Henderson,213,4293,16552,17227,11052,7070,375,2291,4204,5619,7962,0,0,660,0,0,0,545,682,0,0
Hidalgo,215,68547,236498,192940,64979,33982,5991,31695,41901,33037,38266,0,0,5742,0,0,0,8823,12368,0,0
Hill,217,2107,7844,7645,4710,3019,184,1090,1841,2395,3399,0,0,278,0,0,0,254,323,0,0
Hockley,219,1613,6200,5215,2749,1377,141,849,1234,1398,1550,0,0,161,0,0,0,213,235,0,0
