"fips","0-4","5-24","25-49","50-64","65+"
275,246,1126,982,643,856
277,3317,13644,15374,9296,8199
279,1199,4381,4023,2381,2399
281,1379,5797,6760,3807,3117
283,546,1874,1785,933,779
285,1180,5019,5273,3858,4127
287,1161,5176,5384,3083,2384
289,946,3924,4164,3521,3539
291,5312,22913,28048,13106,7971
293,1441,5940,7041,4191,3574
295,187,900,846,598,645
297,619,2816,4109,2511,2039
299,865,3667,4067,4409,6119
301,0,12,10,22,17
303,20149,84334,88328,38771,28676
305,422,1909,1738,1016,953
307,538,2201,2090,1646,1679
309,17263,70332,76616,34075,27485
311,32,202,220,198,208
313,841,3952,4634,2300,2008
315,559,2448,2875,2458,2366
317,415,1649,1361,734,701
319,187,860,833,852,957
321,2808,11328,11428,6598,4761
323,5187,19276,15550,7319,5173
325,2862,13607,14116,7934,5381
327,132,563,558,520,558
329,10316,38326,40092,22071,14902
331,1829,7344,7265,4738,4339
333,279,1416,1160,1168,1198
335,486,2451,3412,1733,1437
337,1269,4949,5377,3968,4229
339,28507,125407,147162,77357,38662
341,1732,6696,6435,2909,2075
343,832,3481,3674,2687,2489
345,63,360,339,293,385
347,4200,23133,17393,10250,7751
349,3623,14637,15850,8319,6608
351,757,4028,4324,2913,2187
353,1055,4168,4299,2729,2417
355,25898,95102,112006,52617,34258
357,802,2952,2932,1541,1090
359,124,732,565,439,326
361,5226,24226,26847,16104,11787
363,1912,7795,8344,5310,4621
365,1473,6197,6926,4836,3890
367,6230,32049,37448,21016,12279
369,786,3267,2893,1485,1261
371,1191,5175,5608,2577,1918
373,2655,11535,13847,9269,8982
375,11014,35097,44606,17854,13061
377,821,2702,2199,1261,1117
379,525,2625,2974,2563,2000
381,6491,33583,40327,21105,14102
383,260,1058,973,555,430
385,169,817,763,701,844
387,827,3549,3988,2694,2715
389,941,3424,3603,1947,1578
391,549,1996,2151,1419,1306
393,49,212,206,218,163
395,1141,4622,4384,3137,2766
397,4730,22725,25625,12986,6307
399,758,3057,2898,2035,2095
401,3079,12959,15165,9354,7715
403,531,2225,2504,2299,2841
405,564,2227,2449,1887,2047
407,1369,6688,7345,5657,4477
409,5673,22656,23254,10618,7082
411,369,1742,1602,1170,1191
413,226,840,770,574,535
415,1152,4422,5241,2867,2521
417,212,978,862,665,638
419,1883,7189,7800,4609,4224
421,189,1011,899,544,465
423,14611,56295,64027,34324,28158
425,534,2428,2469,1607,1042
427,7269,23081,19185,7467,5594
429,703,2592,2801,1805,1765
431,66,345,365,219,207
433,84,345,370,300,371
435,313,1206,1205,871,659
437,651,2402,2448,1271,1263
439,139437,499909,653054,268046,139473
441,10409,35668,47280,19469,15488
443,31,266,240,223,245
445,1003,3650,3836,1931,1791
447,100,448,458,320,445
449,2573,9596,9851,4627,3770
451,7811,30067,34655,16775,13867
453,72480,255080,417082,139811,62762
455,852,3395,3707,2950,3404
457,1152,5410,6556,4041,3965
459,2431,10595,11374,7331,5662
461,241,911,852,605,569
463,2330,8319,7581,4050,3476
465,4402,15306,15193,7070,5719
467,3081,14317,15102,10380,9328
469,7019,26098,28564,14610,10309
471,3065,20968,24541,9352,6278
473,2675,13867,12854,6182,3177
475,797,3081,2871,1836,1595
477,2059,8892,10046,6340,5237
479,29454,82384,82694,26818,16770
481,3197,12678,13347,7338,5693
483,288,1322,1312,1066,1039
485,9303,38857,45707,19790,16311
487,1024,4268,4371,2526,2218
489,1959,7072,6522,2973,2460
491,26176,112628,146731,53871,31210
493,2484,12529,13157,7930,4493
495,538,2031,2025,1226,1013
497,3715,17722,19621,10260,6323
499,2242,9225,11098,9376,10024
501,690,2275,2152,1288,903
503,1198,4880,5090,3504,3576
505,1335,4794,4170,1973,1898
507,1044,4097,3550,1835,1348
